,value,value,value,value,value,value,value,value
308,47.0,59.0,50.0,55.0,55.0,68.0,49.0,60
309,47.0,61.0,52.0,55.0,55.0,67.0,47.0,59
310,48.0,62.0,50.0,56.0,55.0,66.0,46.0,58
311,47.0,60.0,49.0,58.0,55.0,65.0,47.0,55
312,48.0,58.0,48.0,57.0,54.0,64.0,48.0,54
313,49.0,57.0,47.0,56.0,55.0,62.0,49.0,53
314,48.0,57.0,47.0,55.0,56.0,61.0,48.0,53
315,47.0,58.0,49.0,55.0,55.0,61.0,47.0,54
316,48.0,57.0,49.0,55.0,55.0,59.0,46.0,54
317,47.0,57.0,50.0,57.0,54.0,57.0,45.0,54
318,48.0,59.0,51.0,60.0,55.0,58.0,46.0,54
319,47.0,59.0,52.0,61.0,55.0,60.0,47.0,55
320,46.0,57.0,53.0,62.0,54.0,62.0,48.0,56
321,47.0,56.0,55.0,64.0,53.0,63.0,48.0,56
322,48.0,55.0,57.0,65.0,54.0,67.0,50.0,55
323,47.0,56.0,53.0,65.0,55.0,65.0,49.0,56
324,46.0,58.0,51.0,64.0,54.0,58.0,48.0,57
325,45.0,55.0,50.0,62.0,55.0,57.0,49.0,58
326,47.0,54.0,48.0,61.0,56.0,58.0,48.0,59
327,49.0,54.0,48.0,62.0,57.0,60.0,47.0,59
328,48.0,55.0,49.0,61.0,55.0,61.0,46.0,57
329,47.0,56.0,50.0,58.0,54.0,62.0,47.0,55
330,48.0,59.0,51.0,56.0,54.0,64.0,46.0,54
331,47.0,62.0,56.0,54.0,55.0,65.0,47.0,55
332,46.0,61.0,55.0,54.0,56.0,67.0,50.0,55
333,47.0,60.0,53.0,53.0,55.0,74.0,51.0,54
334,46.0,59.0,52.0,53.0,54.0,75.0,49.0,54
335,46.0,57.0,50.0,54.0,55.0,77.0,51.0,53
336,57.0,56.0,48.0,53.0,55.0,73.0,50.0,52
337,71.0,56.0,51.0,56.0,54.0,66.0,47.0,53
338,67.0,57.0,50.0,60.0,54.0,67.0,47.0,54
339,59.0,56.0,48.0,58.0,55.0,65.0,46.0,55
340,50.0,56.0,47.0,56.0,55.0,63.0,48.0,54
341,46.0,57.0,46.0,54.0,56.0,57.0,49.0,53
342,44.0,63.0,48.0,54.0,58.0,54.0,50.0,52
343,43.0,65.0,49.0,55.0,60.0,55.0,49.0,50
344,44.0,66.0,50.0,54.0,56.0,56.0,48.0,49
345,45.0,65.0,51.0,53.0,54.0,55.0,48.0,48
346,45.0,61.0,52.0,54.0,52.0,55.0,49.0,48
347,45.0,57.0,49.0,53.0,54.0,55.0,47.0,51
348,46.0,55.0,48.0,53.0,55.0,56.0,46.0,50
349,47.0,54.0,49.0,53.0,54.0,57.0,45.0,49
350,48.0,54.0,49.0,51.0,53.0,58.0,45.0,50
351,47.0,53.0,48.0,50.0,54.0,57.0,46.0,49
352,47.0,54.0,47.0,52.0,54.0,57.0,48.0,50
353,47.0,55.0,48.0,53.0,53.0,56.0,48.0,49
354,46.0,54.0,49.0,53.0,53.0,58.0,46.0,50
355,46.0,53.0,50.0,54.0,54.0,57.0,45.0,49
356,48.0,52.0,52.0,55.0,55.0,57.0,46.0,48
357,47.0,52.0,53.0,54.0,55.0,56.0,47.0,49
358,46.0,52.0,53.0,56.0,53.0,54.0,46.0,51
359,45.0,53.0,53.0,60.0,54.0,55.0,47.0,61
360,46.0,54.0,53.0,61.0,53.0,57.0,48.0,63
361,48.0,55.0,59.0,60.0,53.0,57.0,47.0,62
362,47.0,54.0,64.0,58.0,53.0,64.0,46.0,61
363,46.0,55.0,70.0,55.0,53.0,67.0,47.0,58
364,47.0,56.0,71.0,54.0,53.0,64.0,46.0,55
365,48.0,57.0,74.0,55.0,53.0,61.0,47.0,54
366,47.0,56.0,72.0,56.0,53.0,60.0,49.0,54
367,48.0,55.0,67.0,57.0,53.0,59.0,48.0,55
368,49.0,54.0,65.0,60.0,52.0,57.0,47.0,55
369,48.0,54.0,62.0,61.0,52.0,56.0,46.0,55
370,47.0,54.0,62.0,60.0,53.0,57.0,45.0,54
371,47.0,54.0,62.0,61.0,54.0,56.0,46.0,54
372,46.0,56.0,63.0,62.0,53.0,57.0,46.0,55
373,47.0,55.0,62.0,63.0,54.0,57.0,45.0,56
374,47.0,56.0,60.0,62.0,54.0,55.0,46.0,56
375,49.0,59.0,62.0,61.0,55.0,55.0,47.0,55
376,48.0,62.0,71.0,60.0,54.0,57.0,46.0,54
377,47.0,65.0,71.0,58.0,53.0,58.0,45.0,55
378,48.0,67.0,71.0,57.0,52.0,58.0,46.0,60
379,48.0,65.0,65.0,56.0,53.0,57.0,45.0,68
380,49.0,65.0,57.0,56.0,54.0,58.0,46.0,68
381,48.0,64.0,56.0,55.0,55.0,58.0,47.0,66
382,47.0,65.0,59.0,54.0,54.0,58.0,47.0,61
383,48.0,63.0,65.0,53.0,54.0,61.0,47.0,55
384,48.0,62.0,67.0,53.0,55.0,69.0,45.0,53
385,49.0,59.0,62.0,54.0,54.0,70.0,45.0,52
386,49.0,57.0,57.0,55.0,54.0,70.0,45.0,50
387,49.0,58.0,54.0,55.0,55.0,69.0,46.0,49
388,48.0,58.0,53.0,54.0,55.0,68.0,46.0,48
389,47.0,57.0,51.0,54.0,54.0,65.0,46.0,48
390,48.0,58.0,51.0,53.0,54.0,55.0,45.0,48
391,48.0,59.0,52.0,52.0,56.0,56.0,46.0,49
392,50.0,60.0,52.0,52.0,55.0,56.0,45.0,48
393,49.0,60.0,53.0,52.0,53.0,57.0,45.0,47
394,48.0,60.0,54.0,53.0,54.0,56.0,44.0,50
395,48.0,60.0,54.0,54.0,53.0,55.0,45.0,49
396,47.0,59.0,53.0,55.0,54.0,55.0,45.0,47
397,47.0,55.0,52.0,56.0,54.0,56.0,44.0,48
398,48.0,55.0,53.0,56.0,53.0,56.0,46.0,47
399,47.0,56.0,52.0,55.0,53.0,57.0,45.0,48
400,46.0,54.0,52.0,56.0,54.0,57.0,44.0,49
401,47.0,54.0,51.0,55.0,55.0,57.0,45.0,49
402,48.0,53.0,52.0,54.0,55.0,58.0,45.0,50
403,47.0,53.0,53.0,54.0,55.0,60.0,44.0,49
404,46.0,53.0,53.0,54.0,54.0,64.0,45.0,53
405,47.0,52.0,52.0,55.0,54.0,66.0,44.0,55
406,48.0,53.0,51.0,55.0,55.0,65.0,43.0,52
407,48.0,54.0,52.0,54.0,55.0,64.0,44.0,50
408,49.0,56.0,53.0,53.0,54.0,62.0,45.0,49
409,48.0,55.0,54.0,54.0,54.0,60.0,46.0,48
410,49.0,53.0,54.0,54.0,54.0,56.0,45.0,47
411,49.0,52.0,55.0,53.0,53.0,55.0,44.0,48
412,47.0,53.0,56.0,52.0,53.0,56.0,45.0,48
413,48.0,53.0,54.0,53.0,54.0,57.0,46.0,47
414,49.0,52.0,53.0,54.0,54.0,58.0,45.0,48
415,47.0,51.0,54.0,56.0,53.0,59.0,44.0,49
416,47.0,51.0,53.0,57.0,54.0,58.0,45.0,50
417,49.0,51.0,52.0,57.0,54.0,57.0,46.0,50
418,50.0,52.0,53.0,58.0,54.0,56.0,45.0,48
419,49.0,52.0,55.0,59.0,53.0,56.0,44.0,49
420,47.0,54.0,54.0,60.0,54.0,56.0,44.0,50
421,48.0,58.0,52.0,60.0,54.0,56.0,43.0,49
422,47.0,61.0,50.0,60.0,55.0,57.0,44.0,50
423,47.0,59.0,49.0,61.0,55.0,56.0,45.0,50
424,47.0,58.0,50.0,63.0,54.0,56.0,45.0,49
425,47.0,59.0,51.0,69.0,53.0,57.0,44.0,50
426,48.0,58.0,52.0,70.0,54.0,57.0,45.0,50
427,49.0,57.0,53.0,71.0,55.0,58.0,44.0,50
428,50.0,56.0,54.0,72.0,54.0,57.0,44.0,49
429,48.0,57.0,55.0,73.0,54.0,57.0,44.0,48
430,47.0,58.0,56.0,73.0,54.0,58.0,45.0,48
431,48.0,57.0,55.0,74.0,54.0,61.0,46.0,49
432,47.0,57.0,55.0,72.0,54.0,62.0,45.0,50
433,48.0,59.0,53.0,72.0,55.0,63.0,44.0,49
